AYUNTAMIENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021 18:52 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'040054C0100,'040054C010002,'04,CAMPECHE,'001,CAMPECHE,'0054,1,C,0,1,2,,,,,,,,26,5,15,17,8,44,32,35,34,28,42,48,43,,,377,410,,,,,,,,,,,
'040055B0100,'040055B010002,'04,CAMPECHE,'001,CAMPECHE,'0055,1,B,0,1,2,,,,,,,,14,32,41,34,38,21,44,30,47,19,5,21,13,,,359,666,,,,,,,,,,,
'040055C0100,'040055C010002,'04,CAMPECHE,'001,CAMPECHE,'0055,1,C,0,1,2,,,,,,,,41,10,20,15,33,13,21,41,29,26,49,43,6,,,347,666,,,,,,,,,,,
'040056B0100,'040056B010002,'04,CAMPECHE,'001,CAMPECHE,'0056,1,B,0,1,2,,,,,,,,37,42,16,36,19,3,8,35,23,30,45,2,6,,,302,464,,,,,,,,,,,
'040056C0100,'040056C010002,'04,CAMPECHE,'001,CAMPECHE,'0056,1,C,0,1,2,,,,,,,,16,31,44,31,23,47,40,37,19,17,10,21,23,,,359,463,,,,,,,,,,,
'040057B0100,'040057B010002,'04,CAMPECHE,'001,CAMPECHE,'0057,1,B,0,1,2,,,,,,,,26,7,16,40,27,17,1,25,42,17,36,27,41,,,322,552,,,,,,,,,,,
'040057C0100,'040057C010002,'04,CAMPECHE,'001,CAMPECHE,'0057,1,C,0,1,2,,,,,,,,25,44,21,14,38,30,19,32,48,13,16,26,11,,,337,551,,,,,,,,,,,
'040058B0100,'040058B010002,'04,CAMPECHE,'001,CAMPECHE,'0058,1,B,0,1,2,,,,,,,,6,40,5,11,46,14,5,35,8,18,3,19,44,,,254,563,,,,,,,,,,,
'040058C0100,'040058C010002,'04,CAMPECHE,'001,CAMPECHE,'0058,1,C,0,1,2,,,,,,,,33,30,7,15,27,5,9,18,10,27,23,29,49,,,282,563,,,,,,,,,,,
'040059B0100,'040059B010002,'04,CAMPECHE,'001,CAMPECHE,'0059,1,B,0,1,2,,,,,,,,14,34,49,9,35,8,35,41,3,16,9,1,3,,,257,553,,,,,,,,,,,
'040059C0100,'040059C010002,'04,CAMPECHE,'001,CAMPECHE,'0059,1,C,0,1,2,,,,,,,,11,16,40,35,19,22,2,25,2,21,16,26,27,,,262,553,,,,,,,,,,,
'040060B0100,'040060B010002,'04,CAMPECHE,'001,CAMPECHE,'0060,1,B,0,1,2,,,,,,,,27,32,6,44,7,42,16,5,29,2,34,18,47,,,309,485,,,,,,,,,,,
'040060C0100,'040060C010002,'04,CAMPECHE,'001,CAMPECHE,'0060,1,C,0,1,2,,,,,,,,29,37,3,13,36,37,11,39,29,14,46,22,46,,,362,484,,,,,,,,,,,
'040061B0100,'040061B010002,'04,CAMPECHE,'001,CAMPECHE,'0061,1,B,0,1,2,,,,,,,,25,27,3,48,18,38,45,8,22,43,2,5,48,,,332,442,,,,,,,,,,,
'040061C0100,'040061C010002,'04,CAMPECHE,'001,CAMPECHE,'0061,1,C,0,1,2,,,,,,,,12,12,27,47,3,11,8,22,43,47,17,36,23,,,308,441,,,,,,,,,,,
'040062B0100,'040062B010002,'04,CAMPECHE,'001,CAMPECHE,'0062,1,B,0,1,2,,,,,,,,3,17,20,11,36,24,22,31,28,10,15,25,8,,,250,519,,,,,,,,,,,
'040062C0100,'040062C010002,'04,CAMPECHE,'001,CAMPECHE,'0062,1,C,0,1,2,,,,,,,,1,21,37,32,9,27,24,38,27,5,1,30,34,,,286,518,,,,,,,,,,,
'040063B0100,'040063B010002,'04,CAMPECHE,'001,CAMPECHE,'0063,1,B,0,1,2,,,,,,,,33,39,26,23,44,28,3,21,49,41,1,48,31,,,387,671,,,,,,,,,,,
'040063C0100,'040063C010002,'04,CAMPECHE,'001,CAMPECHE,'0063,1,C,0,1,2,,,,,,,,27,10,10,44,49,34,1,26,10,10,49,49,16,,,335,671,,,,,,,,,,,
'040064B0100,'040064B010002,'04,CAMPECHE,'001,CAMPECHE,'0064,1,B,0,1,2,,,,,,,,23,23,39,27,32,16,11,35,34,11,43,20,28,,,342,593,,,,,,,,,,,
'040064C0100,'040064C010002,'04,CAMPECHE,'001,CAMPECHE,'0064,1,C,0,1,2,,,,,,,,14,35,1,9,39,35,13,37,29,24,12,33,44,,,325,593,,,,,,,,,,,
'040065B0100,'040065B010002,'04,CAMPECHE,'001,CAMPECHE,'0065,1,B,0,1,2,,,,,,,,25,20,42,10,28,19,41,9,42,35,13,49,14,,,347,590,,,,,,,,,,,
'040065C0100,'040065C010002,'04,CAMPECHE,'001,CAMPECHE,'0065,1,C,0,1,2,,,,,,,,9,32,37,39,6,17,11,14,23,42,5,12,15,,,262,590,,,,,,,,,,,
'040065C0200,'040065C020002,'04,CAMPECHE,'001,CAMPECHE,'0065,2,C,0,1,2,,,,,,,,16,32,6,34,43,14,41,16,41,49,43,39,8,,,382,590,,,,,,,,,,,
'040066B0100,'040066B010002,'04,CAMPECHE,'001,CAMPECHE,'0066,1,B,0,1,2,,,,,,,,17,27,4,42,36,39,17,13,21,21,7,42,13,,,299,547,,,,,,,,,,,
'040066C0100,'040066C010002,'04,CAMPECHE,'001,CAMPECHE,'0066,1,C,0,1,2,,,,,,,,4,19,14,27,24,23,4,16,36,1,17,42,46,,,273,547,,,,,,,,,,,
'040067B0100,'040067B010002,'04,CAMPECHE,'001,CAMPECHE,'0067,1,B,0,1,2,,,,,,,,28,37,45,7,1,3,25,15,28,47,24,40,16,,,316,514,,,,,,,,,,,
'040067C0100,'040067C010002,'04,CAMPECHE,'001,CAMPECHE,'0067,1,C,0,1,2,,,,,,,,21,40,2,8,17,5,16,42,33,18,38,23,43,,,306,514,,,,,,,,,,,
'040068B0100,'040068B010002,'04,CAMPECHE,'001,CAMPECHE,'0068,1,B,0,1,2,,,,,,,,7,13,45,36,35,3,27,30,6,43,47,42,25,,,359,624,,,,,,,,,,,
'040068C0100,'040068C010002,'04,CAMPECHE,'001,CAMPECHE,'0068,1,C,0,1,2,,,,,,,,1,9,27,5,36,4,3,4,3,20,47,33,13,,,205,624,,,,,,,,,,,
'040069B0100,'040069B010002,'04,CAMPECHE,'001,CAMPECHE,'0069,1,B,0,1,2,,,,,,,,27,25,31,10,26,44,33,31,26,18,47,35,46,,,399,505,,,,,,,,,,,
'040069C0100,'040069C010002,'04,CAMPECHE,'001,CAMPECHE,'0069,1,C,0,1,2,,,,,,,,36,3,29,18,31,17,37,9,36,5,15,36,21,,,293,505,,,,,,,,,,,
'040070B0100,'040070B010002,'04,CAMPECHE,'001,CAMPECHE,'0070,1,B,0,1,2,,,,,,,,15,15,28,25,35,4,10,28,43,32,36,28,33,,,332,605,,,,,,,,,,,
'040070C0100,'040070C010002,'04,CAMPECHE,'001,CAMPECHE,'0070,1,C,0,1,2,,,,,,,,24,21,23,46,37,13,6,17,4,20,17,11,11,,,250,605,,,,,,,,,,,
'040071B0100,'040071B010002,'04,CAMPECHE,'001,CAMPECHE,'0071,1,B,0,1,2,,,,,,,,47,4,22,47,29,22,33,39,19,46,12,15,49,,,384,498,,,,,,,,,,,
'040071C0100,'040071C010002,'04,CAMPECHE,'001,CAMPECHE,'0071,1,C,0,1,2,,,,,,,,16,9,5,26,11,33,1,11,20,14,47,35,37,,,265,497,,,,,,,,,,,
'040072B0100,'040072B010002,'04,CAMPECHE,'001,CAMPECHE,'0072,1,B,0,1,2,,,,,,,,3,24,39,33,44,40,26,29,38,41,48,42,48,,,455,635,,,,,,,,,,,
'040072C0100,'040072C010002,'04,CAMPECHE,'001,CAMPECHE,'0072,1,C,0,1,2,,,,,,,,35,27,2,31,37,16,44,18,18,10,20,10,15,,,283,635,,,,,,,,,,,
'040073B0100,'040073B010002,'04,CAMPECHE,'001,CAMPECHE,'0073,1,B,0,1,2,,,,,,,,41,43,39,5,9,36,42,32,35,47,33,1,14,,,377,577,,,,,,,,,,,
'040073C0100,'040073C010002,'04,CAMPECHE,'001,CAMPECHE,'0073,1,C,0,1,2,,,,,,,,31,11,3,3,46,16,44,14,44,45,7,49,25,,,338,576,,,,,,,,,,,
'040074B0100,'040074B010002,'04,CAMPECHE,'001,CAMPECHE,'0074,1,B,0,1,2,,,,,,,,6,1,34,12,8,37,44,30,25,39,15,49,49,,,349,639,,,,,,,,,,,
'040074C0100,'040074C010002,'04,CAMPECHE,'001,CAMPECHE,'0074,1,C,0,1,2,,,,,,,,19,36,43,29,42,33,38,11,40,45,29,44,37,,,446,639,,,,,,,,,,,
'040075B0100,'040075B010002,'04,CAMPECHE,'001,CAMPECHE,'0075,1,B,0,1,2,,,,,,,,3,42,48,4,38,29,47,45,43,9,4,36,16,,,364,697,,,,,,,,,,,
'040075C0100,'040075C010002,'04,CAMPECHE,'001,CAMPECHE,'0075,1,C,0,1,2,,,,,,,,9,1,31,8,19,40,49,35,38,6,8,48,36,,,328,696,,,,,,,,,,,
'040075C0200,'040075C020002,'04,CAMPECHE,'001,CAMPECHE,'0075,2,C,0,1,2,,,,,,,,33,2,42,25,5,11,47,35,39,24,16,7,48,,,334,696,,,,,,,,,,,
'040076B0100,'040076B010002,'04,CAMPECHE,'001,CAMPECHE,'0076,1,B,0,1,2,,,,,,,,20,1,16,9,22,45,17,6,5,34,42,38,32,,,287,495,,,,,,,,,,,
'040076C0100,'040076C010002,'04,CAMPECHE,'001,CAMPECHE,'0076,1,C,0,1,2,,,,,,,,6,37,38,31,46,41,46,8,4,3,33,33,34,,,360,495,,,,,,,,,,,
'040077B0100,'040077B010002,'04,CAMPECHE,'001,CAMPECHE,'0077,1,B,0,1,2,,,,,,,,33,25,45,1,25,5,13,31,47,35,44,14,27,,,345,476,,,,,,,,,,,
'040077C0100,'040077C010002,'04,CAMPECHE,'001,CAMPECHE,'0077,1,C,0,1,2,,,,,,,,2,22,42,13,4,48,18,45,11,24,39,18,38,,,324,476,,,,,,,,,,,
'040078B0100,'040078B010002,'04,CAMPECHE,'001,CAMPECHE,'0078,1,B,0,1,2,,,,,,,,25,35,32,44,35,13,30,9,19,10,10,34,4,,,300,462,,,,,,,,,,,
'040078C0100,'040078C010002,'04,CAMPECHE,'001,CAMPECHE,'0078,1,C,0,1,2,,,,,,,,1,12,2,12,26,49,39,49,48,3,48,24,38,,,351,462,,,,,,,,,,,
'040079B0100,'040079B010002,'04,CAMPECHE,'001,CAMPECHE,'0079,1,B,0,1,2,,,,,,,,43,25,16,24,42,32,8,9,3,30,44,18,2,,,296,666,,,,,,,,,,,
'040079C0100,'040079C010002,'04,CAMPECHE,'001,CAMPECHE,'0079,1,C,0,1,2,,,,,,,,43,48,25,26,43,8,9,47,14,26,48,49,2,,,388,666,,,,,,,,,,,
'040079C0200,'040079C020002,'04,CAMPECHE,'001,CAMPECHE,'0079,2,C,0,1,2,,,,,,,,26,36,36,26,21,27,5,7,45,26,2,13,33,,,303,665,,,,,,,,,,,
'040079C0300,'040079C030002,'04,CAMPECHE,'001,CAMPECHE,'0079,3,C,0,1,2,,,,,,,,15,31,26,25,3,29,40,16,40,2,48,20,43,,,338,665,,,,,,,,,,,
'040079C0400,'040079C040002,'04,CAMPECHE,'001,CAMPECHE,'0079,4,C,0,1,2,,,,,,,,44,36,25,31,19,7,34,44,40,14,7,26,30,,,357,665,,,,,,,,,,,
'040079C0500,'040079C050002,'04,CAMPECHE,'001,CAMPECHE,'0079,5,C,0,1,2,,,,,,,,2,30,6,33,44,37,22,3,2,8,6,16,12,,,221,665,,,,,,,,,,,
'040079C0600,'040079C060002,'04,CAMPECHE,'001,CAMPECHE,'0079,6,C,0,1,2,,,,,,,,41,23,22,13,24,43,36,12,9,13,3,1,16,,,256,665,,,,,,,,,,,
'040079C0700,'040079C070002,'04,CAMPECHE,'001,CAMPECHE,'0079,7,C,0,1,2,,,,,,,,49,37,31,19,42,21,36,48,16,29,8,25,2,,,363,665,,,,,,,,,,,
'040079E0100,'040079E010002,'04,CAMPECHE,'001,CAMPECHE,'0079,1,E,0,1,2,,,,,,,,48,21,19,27,45,48,45,33,46,47,31,43,17,,,470,556,,,,,,,,,,,
'040079E0101,'040079E010102,'04,CAMPECHE,'001,CAMPECHE,'0079,1,E,1,1,2,,,,,,,,3,13,3,21,28,11,10,17,40,8,2,25,49,,,230,556,,,,,,,,,,,
'040079E0102,'040079E010202,'04,CAMPECHE,'001,CAMPECHE,'0079,1,E,2,1,2,,,,,,,,5,8,47,40,33,45,7,22,9,23,37,25,30,,,331,555,,,,,,,,,,,
'040080B0100,'040080B010002,'04,CAMPECHE,'001,CAMPECHE,'0080,1,B,0,1,2,,,,,,,,22,34,31,25,42,2,48,18,14,24,47,18,12,,,337,412,,,,,,,,,,,
'040080C0100,'040080C010002,'04,CAMPECHE,'001,CAMPECHE,'0080,1,C,0,1,2,,,,,,,,31,43,23,2,20,35,31,44,13,19,20,35,19,,,335,412,,,,,,,,,,,
'040081B0100,'040081B010002,'04,CAMPECHE,'001,CAMPECHE,'0081,1,B,0,1,2,,,,,,,,36,42,27,38,46,31,15,4,39,14,48,40,49,,,429,677,,,,,,,,,,,
'040081C0100,'040081C010002,'04,CAMPECHE,'001,CAMPECHE,'0081,1,C,0,1,2,,,,,,,,9,20,20,15,44,26,37,24,30,7,30,39,3,,,304,677,,,,,,,,,,,
'040081C0200,'040081C020002,'04,CAMPECHE,'001,CAMPECHE,'0081,2,C,0,1,2,,,,,,,,43,6,32,35,9,38,17,13,40,25,1,43,6,,,308,677,,,,,,,,,,,
'040081C0300,'040081C030002,'04,CAMPECHE,'001,CAMPECHE,'0081,3,C,0,1,2,,,,,,,,32,21,37,31,32,18,31,48,30,24,37,45,4,,,390,677,,,,,,,,,,,
'040081C0400,'040081C040002,'04,CAMPECHE,'001,CAMPECHE,'0081,4,C,0,1,2,,,,,,,,4,19,17,14,33,16,11,12,9,14,23,20,1,,,193,677,,,,,,,,,,,
'040081C0500,'040081C050002,'04,CAMPECHE,'001,CAMPECHE,'0081,5,C,0,1,2,,,,,,,,21,11,24,10,42,28,49,26,22,36,7,43,6,,,325,677,,,,,,,,,,,
'040081C0600,'040081C060002,'04,CAMPECHE,'001,CAMPECHE,'0081,6,C,0,1,2,,,,,,,,15,18,29,32,6,23,10,24,7,7,6,5,43,,,225,677,,,,,,,,,,,
'040081C0700,'040081C070002,'04,CAMPECHE,'001,CAMPECHE,'0081,7,C,0,1,2,,,,,,,,8,36,32,49,10,33,27,13,21,7,37,39,3,,,315,677,,,,,,,,,,,
'040081C0800,'040081C080002,'04,CAMPECHE,'001,CAMPECHE,'0081,8,C,0,1,2,,,,,,,,47,13,25,1,38,37,5,10,4,12,19,44,33,,,288,676,,,,,,,,,,,
'040081C0900,'040081C090002,'04,CAMPECHE,'001,CAMPECHE,'0081,9,C,0,1,2,,,,,,,,28,25,1,4,29,10,21,6,1,7,42,13,9,,,196,676,,,,,,,,,,,
'040081E0100,'040081E010002,'04,CAMPECHE,'001,CAMPECHE,'0081,1,E,0,1,2,,,,,,,,47,1,34,14,8,23,44,22,42,47,28,25,43,,,378,675,,,,,,,,,,,
'040081E0101,'040081E010102,'04,CAMPECHE,'001,CAMPECHE,'0081,1,E,1,1,2,,,,,,,,30,3,11,28,10,42,8,19,26,46,19,46,39,,,327,675,,,,,,,,,,,
'040081E0102,'040081E010202,'04,CAMPECHE,'001,CAMPECHE,'0081,1,E,2,1,2,,,,,,,,34,27,16,4,10,27,32,10,13,19,1,6,35,,,234,675,,,,,,,,,,,
'040081E0103,'040081E010302,'04,CAMPECHE,'001,CAMPECHE,'0081,1,E,3,1,2,,,,,,,,1,29,30,28,8,33,47,44,5,15,43,36,43,,,362,675,,,,,,,,,,,
'040081E0104,'040081E010402,'04,CAMPECHE,'001,CAMPECHE,'0081,1,E,4,1,2,,,,,,,,34,7,35,35,39,15,19,23,4,17,6,22,43,,,299,675,,,,,,,,,,,
'040081E0105,'040081E010502,'04,CAMPECHE,'001,CAMPECHE,'0081,1,E,5,1,2,,,,,,,,24,28,10,1,4,24,22,35,30,31,46,23,18,,,296,675,,,,,,,,,,,
'040081E0106,'040081E010602,'04,CAMPECHE,'001,CAMPECHE,'0081,1,E,6,1,2,,,,,,,,21,5,41,23,28,28,20,47,49,14,5,40,7,,,328,675,,,,,,,,,,,
'040081E0107,'040081E010702,'04,CAMPECHE,'001,CAMPECHE,'0081,1,E,7,1,2,,,,,,,,6,12,38,4,29,48,39,43,5,16,47,34,37,,,358,675,,,,,,,,,,,
'040081E0108,'040081E010802,'04,CAMPECHE,'001,CAMPECHE,'0081,1,E,8,1,2,,,,,,,,46,11,5,41,22,6,34,3,34,14,15,45,47,,,323,674,,,,,,,,,,,
'040082B0100,'040082B010002,'04,CAMPECHE,'001,CAMPECHE,'0082,1,B,0,1,2,,,,,,,,2,13,26,19,9,34,16,5,29,28,16,24,23,,,244,607,,,,,,,,,,,
'040082C0100,'040082C010002,'04,CAMPECHE,'001,CAMPECHE,'0082,1,C,0,1,2,,,,,,,,3,15,30,16,41,45,2,14,17,1,19,2,41,,,246,607,,,,,,,,,,,
'040083B0100,'040083B010002,'04,CAMPECHE,'001,CAMPECHE,'0083,1,B,0,1,2,,,,,,,,5,2,22,18,31,45,38,5,14,37,8,31,6,,,262,716,,,,,,,,,,,
'040083C0100,'040083C010002,'04,CAMPECHE,'001,CAMPECHE,'0083,1,C,0,1,2,,,,,,,,27,48,44,8,3,40,22,5,3,21,31,43,47,,,342,716,,,,,,,,,,,
'040083C0200,'040083C020002,'04,CAMPECHE,'001,CAMPECHE,'0083,2,C,0,1,2,,,,,,,,13,10,5,32,32,34,5,30,12,10,20,30,42,,,275,716,,,,,,,,,,,
'040083C0300,'040083C030002,'04,CAMPECHE,'001,CAMPECHE,'0083,3,C,0,1,2,,,,,,,,28,38,26,1,20,29,31,42,37,28,32,19,6,,,337,716,,,,,,,,,,,
'040083C0400,'040083C040002,'04,CAMPECHE,'001,CAMPECHE,'0083,4,C,0,1,2,,,,,,,,35,9,12,44,45,11,20,23,24,21,7,37,16,,,304,716,,,,,,,,,,,
'040083C0500,'040083C050002,'04,CAMPECHE,'001,CAMPECHE,'0083,5,C,0,1,2,,,,,,,,3,19,35,15,20,2,21,29,38,25,46,39,34,,,326,716,,,,,,,,,,,
'040083C0600,'040083C060002,'04,CAMPECHE,'001,CAMPECHE,'0083,6,C,0,1,2,,,,,,,,11,47,25,19,39,33,5,42,34,1,45,44,10,,,355,715,,,,,,,,,,,
'040084B0100,'040084B010002,'04,CAMPECHE,'001,CAMPECHE,'0084,1,B,0,1,2,,,,,,,,39,25,7,18,19,20,14,11,23,19,28,6,21,,,250,463,,,,,,,,,,,
'040084C0100,'040084C010002,'04,CAMPECHE,'001,CAMPECHE,'0084,1,C,0,1,2,,,,,,,,22,14,25,16,1,36,5,14,20,8,19,31,7,,,218,463,,,,,,,,,,,
'040085B0100,'040085B010002,'04,CAMPECHE,'001,CAMPECHE,'0085,1,B,0,1,2,,,,,,,,10,35,7,1,46,48,28,8,12,42,11,39,33,,,320,562,,,,,,,,,,,
'040085C0100,'040085C010002,'04,CAMPECHE,'001,CAMPECHE,'0085,1,C,0,1,2,,,,,,,,38,46,34,24,28,44,39,20,6,19,47,46,16,,,407,562,,,,,,,,,,,
'040086B0100,'040086B010002,'04,CAMPECHE,'001,CAMPECHE,'0086,1,B,0,1,2,,,,,,,,31,19,1,3,9,34,5,1,38,39,9,20,18,,,227,536,,,,,,,,,,,
'040086C0100,'040086C010002,'04,CAMPECHE,'001,CAMPECHE,'0086,1,C,0,1,2,,,,,,,,28,21,3,27,7,40,22,21,47,15,45,15,49,,,340,536,,,,,,,,,,,
'040087B0100,'040087B010002,'04,CAMPECHE,'001,CAMPECHE,'0087,1,B,0,1,2,,,,,,,,38,23,40,21,29,10,48,39,39,16,24,17,19,,,363,466,,,,,,,,,,,
'040087C0100,'040087C010002,'04,CAMPECHE,'001,CAMPECHE,'0087,1,C,0,1,2,,,,,,,,42,6,37,27,21,13,9,42,2,27,42,19,6,,,293,465,,,,,,,,,,,
'040088B0100,'040088B010002,'04,CAMPECHE,'001,CAMPECHE,'0088,1,B,0,1,2,,,,,,,,9,40,39,11,22,25,26,17,10,13,31,32,9,,,284,630,,,,,,,,,,,
'040089B0100,'040089B010002,'04,CAMPECHE,'001,CAMPECHE,'0089,1,B,0,1,2,,,,,,,,45,24,2,2,38,4,43,21,42,23,1,23,15,,,283,496,,,,,,,,,,,
'040089C0100,'040089C010002,'04,CAMPECHE,'001,CAMPECHE,'0089,1,C,0,1,2,,,,,,,,43,4,42,24,4,41,34,45,31,7,11,4,42,,,332,496,,,,,,,,,,,
'040090B0100,'040090B010002,'04,CAMPECHE,'001,CAMPECHE,'0090,1,B,0,1,2,,,,,,,,14,38,14,7,19,36,20,46,18,19,26,46,45,,,348,605,,,,,,,,,,,
'040090C0100,'040090C010002,'04,CAMPECHE,'001,CAMPECHE,'0090,1,C,0,1,2,,,,,,,,1,39,33,15,6,31,24,6,47,10,29,2,39,,,282,605,,,,,,,,,,,
'040090C0200,'040090C020002,'04,CAMPECHE,'001,CAMPECHE,'0090,2,C,0,1,2,,,,,,,,42,16,15,11,18,43,26,25,36,45,26,3,49,,,355,604,,,,,,,,,,,
'040091B0100,'040091B010002,'04,CAMPECHE,'001,CAMPECHE,'0091,1,B,0,1,2,,,,,,,,10,26,11,21,4,25,2,21,30,37,47,7,2,,,243,597,,,,,,,,,,,
'040091C0100,'040091C010002,'04,CAMPECHE,'001,CAMPECHE,'0091,1,C,0,1,2,,,,,,,,12,38,14,3,15,10,10,27,39,4,37,45,24,,,278,596,,,,,,,,,,,
'040091C0200,'040091C020002,'04,CAMPECHE,'001,CAMPECHE,'0091,2,C,0,1,2,,,,,,,,10,31,18,45,30,18,18,27,39,43,24,17,49,,,369,596,,,,,,,,,,,
'040092B0100,'040092B010002,'04,CAMPECHE,'001,CAMPECHE,'0092,1,B,0,1,2,,,,,,,,41,43,39,13,25,6,38,12,17,46,17,16,22,,,335,612,,,,,,,,,,,
'040092C0100,'040092C010002,'04,CAMPECHE,'001,CAMPECHE,'0092,1,C,0,1,2,,,,,,,,44,4,11,19,14,12,36,26,27,5,12,41,29,,,280,611,,,,,,,,,,,
'040092S0100,'040092S010002,'04,CAMPECHE,'001,CAMPECHE,'0092,1,S,0,1,2,,,,,,,,10,7,21,7,5,3,43,37,33,27,24,13,44,,,274,0,,,,,,,,,,,
'040093B0100,'040093B010002,'04,CAMPECHE,'001,CAMPECHE,'0093,1,B,0,1,2,,,,,,,,3,37,42,43,6,9,41,35,1,42,25,18,18,,,320,569,,,,,,,,,,,
'040093C0100,'040093C010002,'04,CAMPECHE,'001,CAMPECHE,'0093,1,C,0,1,2,,,,,,,,45,24,32,27,41,24,45,26,38,41,6,8,21,,,378,568,,,,,,,,,,,
'040094B0100,'040094B010002,'04,CAMPECHE,'001,CAMPECHE,'0094,1,B,0,1,2,,,,,,,,40,48,36,20,1,10,13,28,43,12,11,22,2,,,286,670,,,,,,,,,,,
'040094C0100,'040094C010002,'04,CAMPECHE,'001,CAMPECHE,'0094,1,C,0,1,2,,,,,,,,3,33,38,26,43,37,8,47,19,40,25,1,36,,,356,670,,,,,,,,,,,
'040095B0100,'040095B010002,'04,CAMPECHE,'001,CAMPECHE,'0095,1,B,0,1,2,,,,,,,,45,42,11,44,48,14,15,21,25,20,11,9,28,,,333,528,,,,,,,,,,,
'040095C0100,'040095C010002,'04,CAMPECHE,'001,CAMPECHE,'0095,1,C,0,1,2,,,,,,,,20,40,18,39,1,13,34,47,33,17,30,7,19,,,318,527,,,,,,,,,,,
'040095C0200,'040095C020002,'04,CAMPECHE,'001,CAMPECHE,'0095,2,C,0,1,2,,,,,,,,2,2,47,27,5,35,14,25,1,10,42,37,40,,,287,527,,,,,,,,,,,
'040096B0100,'040096B010002,'04,CAMPECHE,'001,CAMPECHE,'0096,1,B,0,1,2,,,,,,,,5,22,34,17,23,14,39,28,18,15,32,1,9,,,257,580,,,,,,,,,,,
'040096C0100,'040096C010002,'04,CAMPECHE,'001,CAMPECHE,'0096,1,C,0,1,2,,,,,,,,47,2,41,42,13,7,6,30,37,16,31,46,46,,,364,580,,,,,,,,,,,
'040097B0100,'040097B010002,'04,CAMPECHE,'001,CAMPECHE,'0097,1,B,0,1,2,,,,,,,,21,8,44,39,46,9,24,16,3,11,47,2,1,,,271,582,,,,,,,,,,,
'040097C0100,'040097C010002,'04,CAMPECHE,'001,CAMPECHE,'0097,1,C,0,1,2,,,,,,,,40,21,39,7,2,1,35,16,38,14,40,21,28,,,302,582,,,,,,,,,,,
'040098B0100,'040098B010002,'04,CAMPECHE,'001,CAMPECHE,'0098,1,B,0,1,2,,,,,,,,2,45,22,7,17,3,13,27,30,29,18,26,44,,,283,426,,,,,,,,,,,
'040098C0100,'040098C010002,'04,CAMPECHE,'001,CAMPECHE,'0098,1,C,0,1,2,,,,,,,,32,19,39,39,21,44,7,47,8,32,14,37,37,,,376,426,,,,,,,,,,,
'040099B0100,'040099B010002,'04,CAMPECHE,'001,CAMPECHE,'0099,1,B,0,1,2,,,,,,,,27,12,47,47,25,20,14,16,10,41,36,14,21,,,330,635,,,,,,,,,,,
'040099C0100,'040099C010002,'04,CAMPECHE,'001,CAMPECHE,'0099,1,C,0,1,2,,,,,,,,14,47,15,15,47,41,28,3,18,48,15,23,33,,,347,634,,,,,,,,,,,
'040100B0100,'040100B010002,'04,CAMPECHE,'001,CAMPECHE,'0100,1,B,0,1,2,,,,,,,,34,7,30,34,41,13,8,36,17,25,17,42,30,,,334,587,,,,,,,,,,,
'040100C0100,'040100C010002,'04,CAMPECHE,'001,CAMPECHE,'0100,1,C,0,1,2,,,,,,,,9,16,1,26,47,30,47,28,4,21,19,34,19,,,301,587,,,,,,,,,,,
'040100C0200,'040100C020002,'04,CAMPECHE,'001,CAMPECHE,'0100,2,C,0,1,2,,,,,,,,24,37,33,36,14,34,36,45,46,1,25,13,22,,,366,586,,,,,,,,,,,
'040100C0300,'040100C030002,'04,CAMPECHE,'001,CAMPECHE,'0100,3,C,0,1,2,,,,,,,,44,26,40,7,32,23,41,19,13,15,3,42,23,,,328,586,,,,,,,,,,,
'040101B0100,'040101B010002,'04,CAMPECHE,'001,CAMPECHE,'0101,1,B,0,1,2,,,,,,,,17,9,43,4,9,27,1,12,43,4,45,13,4,,,231,628,,,,,,,,,,,
'040101C0100,'040101C010002,'04,CAMPECHE,'001,CAMPECHE,'0101,1,C,0,1,2,,,,,,,,22,16,21,40,44,22,24,7,24,8,12,34,44,,,318,627,,,,,,,,,,,
'040101C0200,'040101C020002,'04,CAMPECHE,'001,CAMPECHE,'0101,2,C,0,1,2,,,,,,,,17,4,24,34,17,31,49,4,22,23,41,8,41,,,315,627,,,,,,,,,,,
'040101C0300,'040101C030002,'04,CAMPECHE,'001,CAMPECHE,'0101,3,C,0,1,2,,,,,,,,13,16,49,35,33,36,40,23,24,40,47,23,10,,,389,627,,,,,,,,,,,
